m/z,with sulfur,without sulfur
1,6.76E-11,5.31E-11
1.1,2.43E-10,1.72E-10
1.2,2.01E-09,1.86E-09
1.3,2.08E-09,2.72E-09
1.4,1.21E-09,1.28E-09
1.5,4.82E-09,4.93E-09
1.6,7.81E-09,8.07E-09
1.7,1.09E-08,1.15E-08
1.8,1.38E-08,1.50E-08
1.9,1.60E-08,1.75E-08
2,1.69E-08,1.85E-08
2.1,1.59E-08,1.76E-08
2.2,1.28E-08,1.46E-08
2.3,4.98E-09,6.64E-09
2.4,2.82E-10,4.78E-10
2.5,2.91E-11,4.06E-11
2.6,7.01E-12,1.18E-11
2.7,3.86E-12,8.03E-12
2.8,8.05E-12,1.13E-11
2.9,6.78E-12,1.44E-11
3,8.17E-12,2.02E-11
3.1,9.31E-12,1.83E-11
3.2,7.48E-12,1.72E-11
3.3,5.38E-12,9.32E-12
3.4,1.75E-12,2.42E-12
3.5,-3.74E-13,3.38E-13
3.6,-1.12E-13,-3.32E-13
3.7,-8.87E-13,-7.00E-13
3.8,-1.82E-12,-3.96E-13
3.9,-2.17E-12,1.76E-13
4,5.54E-13,3.25E-15
4.1,9.27E-13,-3.48E-13
4.2,4.90E-13,-1.26E-12
4.3,-2.27E-12,-1.92E-12
4.4,-3.11E-12,-2.91E-13
4.5,2.52E-12,-8.46E-14
4.6,-1.88E-12,-6.43E-13
4.7,-2.41E-12,-1.24E-12
4.8,1.84E-13,-3.80E-14
4.9,-1.11E-12,-1.10E-12
5,1.52E-13,-2.33E-13
5.1,-9.90E-13,2.45E-13
5.2,-1.06E-12,1.19E-12
5.3,-1.01E-12,-4.23E-14
5.4,-1.28E-12,-7.14E-13
5.5,6.95E-13,-1.68E-13
5.6,-5.43E-13,-2.06E-14
5.7,-1.85E-13,-8.46E-13
5.8,-8.78E-14,-4.34E-13
5.9,5.73E-13,-1.65E-12
6,1.66E-12,1.76E-13
6.1,-1.37E-12,5.29E-13
6.2,-1.20E-12,-3.67E-13
6.3,-2.28E-12,-9.90E-13
6.4,-5.75E-13,-2.11E-13
6.5,-1.50E-13,-1.31E-13
6.6,9.11E-13,-1.03E-13
6.7,6.82E-13,-3.32E-13
6.8,-5.00E-13,7.28E-13
6.9,1.49E-12,2.07E-13
7,-1.19E-12,-5.03E-13
7.1,-1.54E-12,-1.85E-13
7.2,-7.62E-13,5.25E-13
7.3,6.62E-14,-3.45E-13
7.4,1.39E-12,4.70E-13
7.5,5.13E-13,-3.10E-13
7.6,1.08E-12,7.47E-13
7.7,1.14E-12,-5.63E-13
7.8,-4.91E-13,-2.40E-13
7.9,-1.62E-12,1.44E-12
8,1.78E-12,2.10E-12
8.1,8.68E-12,3.97E-12
8.2,1.12E-11,6.00E-12
8.3,1.67E-11,8.71E-12
8.4,2.29E-11,1.24E-11
8.5,2.92E-11,1.52E-11
8.6,2.71E-11,1.42E-11
8.7,1.97E-11,1.04E-11
8.8,8.87E-12,4.56E-12
8.9,2.45E-12,1.03E-12
9,1.30E-12,3.43E-13
9.1,-8.20E-13,6.82E-13
9.2,-1.00E-12,4.95E-13
9.3,-2.81E-12,6.24E-13
9.4,-9.96E-13,5.29E-13
9.5,1.20E-12,3.83E-13
9.6,2.85E-13,1.07E-12
9.7,9.01E-13,7.78E-13
9.8,-8.24E-14,1.16E-12
9.9,7.96E-13,8.25E-13
10,-8.78E-14,4.13E-13
10.1,-3.23E-13,-2.57E-13
10.2,-3.69E-14,-3.15E-13
10.3,-2.39E-14,-2.60E-14
10.4,1.06E-12,4.12E-14
10.5,5.35E-13,1.70E-12
10.6,1.93E-12,1.44E-12
10.7,1.78E-12,2.11E-12
10.8,9.17E-13,1.26E-12
10.9,2.38E-12,1.65E-13
11,3.34E-12,2.40E-12
11.1,3.96E-12,9.76E-13
11.2,7.59E-12,3.46E-12
11.3,1.65E-11,5.51E-12
11.4,5.82E-11,1.51E-11
11.5,1.53E-10,3.57E-11
11.6,3.51E-10,7.99E-11
11.7,6.37E-10,1.66E-10
11.8,8.48E-10,2.33E-10
11.9,9.83E-10,2.98E-10
12,9.66E-10,2.98E-10
12.1,8.05E-10,2.46E-10
12.2,5.09E-10,1.69E-10
12.3,8.46E-11,5.66E-11
12.4,2.17E-11,2.09E-11
12.5,3.61E-11,3.84E-11
12.6,8.05E-11,8.41E-11
12.7,1.62E-10,1.81E-10
12.8,2.18E-10,2.53E-10
12.9,2.67E-10,3.08E-10
13,2.81E-10,3.27E-10
13.1,2.37E-10,2.76E-10
13.2,1.73E-10,2.03E-10
13.3,6.01E-11,7.93E-11
13.4,5.92E-11,5.49E-11
13.5,1.40E-10,1.32E-10
13.6,3.34E-10,3.10E-10
13.7,6.25E-10,6.46E-10
13.8,7.94E-10,8.39E-10
13.9,9.18E-10,9.82E-10
14,9.11E-10,1.01E-09
14.1,7.71E-10,8.89E-10
14.2,5.60E-10,6.69E-10
14.3,1.38E-10,2.08E-10
14.4,1.56E-10,1.83E-10
14.5,3.44E-10,5.12E-10
14.6,8.29E-10,1.06E-09
14.7,1.55E-09,2.19E-09
14.8,1.96E-09,2.86E-09
14.9,2.26E-09,3.43E-09
15,2.26E-09,3.57E-09
15.1,1.91E-09,3.09E-09
15.2,1.49E-09,2.34E-09
15.3,5.90E-10,6.63E-10
15.4,1.33E-09,5.52E-10
15.5,2.79E-09,1.27E-09
15.6,6.85E-09,2.92E-09
15.7,1.23E-08,6.02E-09
15.8,1.50E-08,7.66E-09
15.9,1.66E-08,8.55E-09
16,1.65E-08,8.70E-09
16.1,1.41E-08,7.54E-09
16.2,1.02E-08,5.79E-09
16.3,1.53E-09,1.30E-09
16.4,1.83E-09,1.10E-09
16.5,4.02E-09,2.51E-09
16.6,9.63E-09,5.95E-09
16.7,1.77E-08,1.17E-08
16.8,2.17E-08,1.47E-08
16.9,2.38E-08,1.63E-08
17,2.35E-08,1.63E-08
17.1,2.02E-08,1.43E-08
17.2,1.51E-08,1.11E-08
17.3,2.43E-09,2.41E-09
17.4,2.22E-09,2.06E-09
17.5,4.47E-09,4.67E-09
17.6,1.11E-08,1.11E-08
17.7,1.93E-08,2.08E-08
17.8,2.35E-08,2.64E-08
17.9,2.55E-08,2.90E-08
18,2.45E-08,2.88E-08
18.1,2.08E-08,2.45E-08
18.2,1.48E-08,1.87E-08
