Wavenumber (1/cm),With sulfur,without sulfur
400.163,117.318,105.03
400.646,117.233,105.024
401.128,117.155,105.021
401.61,117.087,105.02
402.092,117.03,105.019
402.574,116.985,105.018
403.056,116.955,105.017
403.538,116.939,105.016
404.02,116.935,105.015
404.503,116.935,105.013
404.985,116.932,105.008
405.467,116.915,104.997
405.949,116.878,104.979
406.431,116.816,104.954
406.913,116.732,104.926
407.395,116.636,104.9
407.877,116.539,104.88
408.36,116.452,104.869
408.842,116.381,104.866
409.324,116.33,104.866
409.806,116.296,104.866
410.288,116.273,104.862
410.77,116.253,104.854
411.252,116.231,104.841
411.734,116.201,104.826
412.217,116.162,104.811
412.699,116.11,104.794
413.181,116.046,104.776
413.663,115.969,104.753
414.145,115.88,104.726
414.627,115.782,104.695
415.109,115.68,104.663
415.591,115.578,104.632
416.073,115.481,104.605
416.556,115.391,104.581
417.038,115.308,104.56
417.52,115.229,104.541
418.002,115.149,104.521
418.484,115.064,104.501
418.966,114.969,104.482
419.448,114.862,104.466
419.931,114.743,104.451
420.413,114.612,104.437
420.895,114.471,104.421
421.377,114.324,104.402
421.859,114.174,104.38
422.341,114.025,104.356
422.823,113.882,104.335
423.305,113.746,104.319
423.788,113.616,104.31
424.27,113.492,104.305
424.752,113.369,104.302
425.234,113.245,104.297
425.716,113.12,104.285
426.198,112.997,104.269
426.68,112.882,104.251
427.162,112.779,104.234
427.645,112.692,104.221
428.127,112.621,104.212
428.609,112.561,104.206
429.091,112.504,104.2
429.573,112.441,104.191
430.055,112.368,104.178
430.537,112.283,104.165
431.019,112.19,104.155
431.501,112.096,104.149
431.984,112.01,104.149
432.466,111.94,104.154
432.948,111.889,104.16
433.43,111.856,104.165
433.912,111.838,104.167
434.394,111.829,104.167
434.876,111.821,104.167
435.358,111.808,104.169
435.841,111.785,104.173
436.323,111.749,104.176
436.805,111.702,104.177
437.287,111.644,104.173
437.769,111.581,104.162
438.251,111.516,104.146
438.733,111.453,104.126
439.216,111.395,104.106
439.698,111.34,104.087
440.18,111.289,104.068
440.662,111.239,104.048
441.144,111.189,104.026
441.626,111.142,104.001
442.108,111.097,103.976
442.59,111.059,103.952
443.073,111.026,103.934
443.555,110.998,103.923
444.037,110.969,103.918
444.519,110.934,103.917
445.001,110.888,103.914
445.483,110.826,103.906
445.965,110.752,103.89
446.447,110.667,103.864
446.93,110.579,103.831
447.412,110.493,103.792
447.894,110.41,103.751
448.376,110.331,103.711
448.858,110.253,103.675
449.34,110.171,103.642
449.822,110.083,103.614
450.304,109.989,103.59
450.786,109.888,103.569
451.269,109.784,103.549
451.751,109.677,103.528
452.233,109.568,103.507
452.715,109.453,103.486
453.197,109.33,103.465
